año,mes,pdo,fase_pdo
1854,1,0.11,Neutro
1854,2,-0.24,Neutro
1854,3,-0.4,Neutro
1854,4,-0.44,Neutro
1854,5,-0.54,Negativa
1854,6,-0.3,Neutro
1854,7,-0.1,Neutro
1854,8,-1.24,Negativa
1854,9,-1.0,Negativa
1854,10,-2.23,Negativa
1854,11,-1.68,Negativa
1854,12,-1.76,Negativa
1855,1,-0.2,Neutro
1855,2,-0.39,Neutro
1855,3,-0.24,Neutro
1855,4,-0.58,Negativa
1855,5,-1.34,Negativa
1855,6,-1.88,Negativa
1855,7,-1.13,Negativa
1855,8,-0.48,Neutro
1855,9,-0.76,Negativa
1855,10,-0.63,Negativa
1855,11,-0.41,Neutro
1855,12,-0.88,Negativa
1856,1,-0.39,Neutro
1856,2,0.47,Neutro
1856,3,0.42,Neutro
1856,4,-0.96,Negativa
1856,5,-1.26,Negativa
1856,6,-2.15,Negativa
1856,7,-0.69,Negativa
1856,8,0.63,Positiva
1856,9,0.58,Positiva
1856,10,0.59,Positiva
1856,11,0.23,Neutro
1856,12,0.04,Neutro
1857,1,-0.52,Negativa
1857,2,-1.67,Negativa
1857,3,-1.05,Negativa
1857,4,-0.81,Negativa
1857,5,-0.65,Negativa
1857,6,1.03,Positiva
1857,7,1.17,Positiva
1857,8,0.81,Positiva
1857,9,0.84,Positiva
1857,10,0.7,Positiva
1857,11,0.38,Neutro
1857,12,-0.55,Negativa
1858,1,-0.96,Negativa
1858,2,-1.53,Negativa
1858,3,-1.76,Negativa
1858,4,-0.82,Negativa
1858,5,0.49,Neutro
1858,6,2.19,Positiva
1858,7,1.05,Positiva
1858,8,0.67,Positiva
1858,9,1.38,Positiva
1858,10,2.35,Positiva
1858,11,0.46,Neutro
1858,12,-1.16,Negativa
1859,1,-1.22,Negativa
1859,2,-1.71,Negativa
1859,3,-2.46,Negativa
1859,4,-3.65,Negativa
1859,5,-2.86,Negativa
1859,6,-1.99,Negativa
1859,7,-1.01,Negativa
1859,8,-1.26,Negativa
1859,9,-1.19,Negativa
1859,10,-1.31,Negativa
1859,11,-1.14,Negativa
1859,12,-1.12,Negativa
1860,1,-1.31,Negativa
1860,2,-1.28,Negativa
1860,3,-1.34,Negativa
1860,4,-0.77,Negativa
1860,5,-0.85,Negativa
1860,6,-1.26,Negativa
1860,7,-0.27,Neutro
1860,8,-0.4,Neutro
1860,9,0.33,Neutro
1860,10,-1.7,Negativa
1860,11,-1.18,Negativa
1860,12,-1.42,Negativa
1861,1,-0.57,Negativa
1861,2,-0.84,Negativa
1861,3,-0.86,Negativa
1861,4,-0.83,Negativa
1861,5,-0.37,Neutro
1861,6,-0.35,Neutro
1861,7,-0.61,Negativa
1861,8,-0.8,Negativa
1861,9,-1.2,Negativa
1861,10,-1.58,Negativa
1861,11,-1.8,Negativa
1861,12,-1.65,Negativa
1862,1,-0.41,Neutro
1862,2,-0.13,Neutro
1862,3,0.16,Neutro
1862,4,0.07,Neutro
1862,5,0.09,Neutro
1862,6,-0.08,Neutro
1862,7,-0.12,Neutro
1862,8,-0.2,Neutro
1862,9,-0.98,Negativa
1862,10,-0.8,Negativa
1862,11,-0.39,Neutro
1862,12,0.07,Neutro
1863,1,-0.06,Neutro
1863,2,-0.34,Neutro
1863,3,-0.37,Neutro
1863,4,-0.18,Neutro
1863,5,0.03,Neutro
1863,6,-0.03,Neutro
1863,7,0.07,Neutro
1863,8,-0.26,Neutro
1863,9,0.05,Neutro
1863,10,0.07,Neutro
1863,11,0.11,Neutro
1863,12,-0.23,Neutro
1864,1,-0.19,Neutro
1864,2,-0.09,Neutro
1864,3,-1.04,Negativa
1864,4,-1.0,Negativa
1864,5,-0.78,Negativa
1864,6,-0.66,Negativa
1864,7,-0.19,Neutro
1864,8,-0.48,Neutro
1864,9,-0.21,Neutro
1864,10,0.23,Neutro
1864,11,0.53,Positiva
1864,12,0.5,Neutro
1865,1,-0.28,Neutro
1865,2,-0.54,Negativa
1865,3,-0.48,Neutro
1865,4,-0.16,Neutro
1865,5,-0.15,Neutro
1865,6,-0.66,Negativa
1865,7,-0.96,Negativa
1865,8,-0.69,Negativa
1865,9,-0.73,Negativa
1865,10,-0.61,Negativa
1865,11,-0.62,Negativa
1865,12,-0.76,Negativa
1866,1,-2.31,Negativa
1866,2,-2.27,Negativa
1866,3,-2.22,Negativa
1866,4,-1.16,Negativa
1866,5,-0.68,Negativa
1866,6,-0.84,Negativa
1866,7,-0.55,Negativa
1866,8,-0.4,Neutro
1866,9,-0.35,Neutro
1866,10,-0.17,Neutro
1866,11,-0.07,Neutro
1866,12,-0.29,Neutro
1867,1,-0.14,Neutro
1867,2,-0.29,Neutro
1867,3,-0.48,Neutro
1867,4,-0.43,Neutro
1867,5,-0.34,Neutro
1867,6,-0.14,Neutro
1867,7,0.16,Neutro
1867,8,-0.34,Neutro
1867,9,-0.29,Neutro
1867,10,-0.89,Negativa
1867,11,-0.28,Neutro
1867,12,0.76,Positiva
1868,1,0.98,Positiva
1868,2,0.26,Neutro
1868,3,0.03,Neutro
1868,4,-0.39,Neutro
1868,5,-0.43,Neutro
1868,6,-0.22,Neutro
1868,7,0.11,Neutro
1868,8,-0.02,Neutro
1868,9,0.09,Neutro
1868,10,-0.2,Neutro
1868,11,-0.63,Negativa
1868,12,-0.81,Negativa
1869,1,-0.84,Negativa
1869,2,-0.16,Neutro
1869,3,0.33,Neutro
1869,4,1.23,Positiva
1869,5,3.56,Positiva
1869,6,3.84,Positiva
1869,7,3.78,Positiva
1869,8,1.2,Positiva
1869,9,-0.12,Neutro
1869,10,-0.4,Neutro
1869,11,-0.63,Negativa
1869,12,-0.46,Neutro
1870,1,0.23,Neutro
1870,2,-0.19,Neutro
1870,3,0.03,Neutro
1870,4,-0.3,Neutro
1870,5,-0.14,Neutro
1870,6,-0.37,Neutro
1870,7,-0.13,Neutro
1870,8,0.05,Neutro
1870,9,-0.49,Neutro
1870,10,-0.7,Negativa
1870,11,-0.88,Negativa
1870,12,-0.94,Negativa
1871,1,-0.44,Neutro
1871,2,0.0,Neutro
1871,3,-0.18,Neutro
1871,4,-0.51,Negativa
1871,5,-0.93,Negativa
1871,6,-0.36,Neutro
1871,7,-0.38,Neutro
1871,8,-0.09,Neutro
1871,9,-0.58,Negativa
1871,10,-0.8,Negativa
1871,11,-0.9,Negativa
1871,12,-0.29,Neutro
1872,1,-0.39,Neutro
1872,2,-0.55,Negativa
1872,3,-0.2,Neutro
1872,4,-0.49,Neutro
1872,5,-0.03,Neutro
1872,6,-0.82,Negativa
1872,7,-0.95,Negativa
1872,8,-1.02,Negativa
1872,9,-0.51,Negativa
1872,10,-0.11,Neutro
1872,11,-1.74,Negativa
1872,12,-2.1,Negativa
1873,1,-2.06,Negativa
1873,2,-2.11,Negativa
1873,3,-1.67,Negativa
1873,4,-0.69,Negativa
1873,5,-0.49,Neutro
1873,6,-0.8,Negativa
1873,7,-1.14,Negativa
1873,8,-1.05,Negativa
1873,9,-0.87,Negativa
